Index,coherence,source,lang,BERT_NSP_PPL,Word_PPL
C05784295_3,3,Clinton,en,1.0001105,7.43129958169075
C05788807_1,3,Clinton,en,1.0002339,6.663744710439174
C05776686_1,3,Clinton,en,1.0000057,4.822151320213678
C05796247_5,3,Clinton,en,28.958704,5.3603006774205015
C05761178_6,3,Clinton,en,1.0001044,5.755639582512819
C05789623_3,3,Clinton,en,1.0019603,9.07232786197638
C05764349_1,3,Clinton,en,1.0000088,3.781528864787752
C05780692_5,2,Clinton,en,1.0002927,7.076612112555597
C05784441_1,1,Clinton,en,1.0000757,12.381863175604456
C05767319_0,3,Clinton,en,1.0000864,7.021016118542774
C05794182_4,1,Clinton,en,1.0007823,8.402527918095002
C05764705_1,3,Clinton,en,1.9223634,5.250343120299103
C05776180_1,1,Clinton,en,8.897995,9.87555518788899
C05798216_0,3,Clinton,en,1.500655,7.786811103310536
C05797121_2,2,Clinton,en,6.929333,10.270744548647677
C05792346_0,1,Clinton,en,1.7050592,6.888796346803804
C05760038_1,3,Clinton,en,1.0000976,6.4049203163475585
C05766571_1,2,Clinton,en,1.0002338,6.075725409797951
C05789560_0,1,Clinton,en,3.2418606,12.753779980398848
C05767774_1,3,Clinton,en,1.0000051,5.666707695112853
C05777530_0,3,Clinton,en,1.0000385,6.325111231499226
C05767313_0,2,Clinton,en,1.8614699,9.008871677605107
C05791749_3,1,Clinton,en,2.3768096,3.820062844838861
C05770408_0,3,Clinton,en,3.1317525,3.9365448165509394
C05788510_3,1,Clinton,en,1.0001216,8.172520158940893
C05767241_2,3,Clinton,en,3.0817063,5.8652503459432905
C05788450_0,3,Clinton,en,3.0454135,4.890988543248681
C05759784_1,1,Clinton,en,3.0751314,9.629038070033246
C05790249_0,1,Clinton,en,1.0000478,8.938575342155566
C05796657_3,2,Clinton,en,1.0642588,10.929899171729058
C05797449_1,3,Clinton,en,1.0011302,5.988919150170621
C05770532_1,2,Clinton,en,2.3008244,5.590211105792487
C05772647_0,3,Clinton,en,1.0000104,6.509178817007405
C05758506_1,3,Clinton,en,1.0000181,3.3854059544169615
C05763822_0,3,Clinton,en,3.990987,3.745233743272279
C05795062_2,3,Clinton,en,2.826888,7.43277957794342
C05797377_1,3,Clinton,en,1.0000057,5.8061925273716914
C05782458_1,3,Clinton,en,1.0025316,3.3883069263512358
C05785296_0,3,Clinton,en,1.6120932,6.42905649750501
C05789979_0,1,Clinton,en,6.000803,7.130789720356913
C05765689_1,3,Clinton,en,1.0000021,3.801038787893096
C05773031_1,3,Clinton,en,2.2772818,6.926911529479802
C05792398_1,3,Clinton,en,1.0001028,5.883201805293665
C05788498_3,3,Clinton,en,1.0000052,5.392338502570412
C05791344_1,3,Clinton,en,4.632147,5.53627078631352
C05758700_5,3,Clinton,en,1.0000587,4.609264115687856
C05791003_0,3,Clinton,en,1.0001429,5.953810072050441
C05770378_3,1,Clinton,en,1.0000747,7.930685610922491
C05778805_1,3,Clinton,en,11.419746,3.287011197283265
C05786233_2,3,Clinton,en,3.9212823,4.488761558830756
C05792818_4,3,Clinton,en,1.0000601,4.971436457471971
C05767739_3,1,Clinton,en,1.000078,13.069938319268404
C05762760_0,2,Clinton,en,1.0000789,6.471137434576524
C05788449_0,1,Clinton,en,7.022279,7.922474907473055
C05781120_3,3,Clinton,en,1.0006442,10.240273458670016
C05771336_0,2,Clinton,en,1.0000219,6.959055649891384
C05793682_0,2,Clinton,en,1.0009586,7.546435325646663
C05766570_0,2,Clinton,en,1.0000147,6.011015808500859
C05769679_0,3,Clinton,en,1.0000148,5.05892701198164
C05764412_1,3,Clinton,en,2.3651025,6.682443605010879
C05789144_2,2,Clinton,en,3.5572953,6.802874687143471
C05779677_0,1,Clinton,en,1.8843273,8.676875200752345
C05782462_2,2,Clinton,en,1.0000027,4.757946439081605
C05781812_0,3,Clinton,en,1.0000024,4.932014196179503
C05770727_0,1,Clinton,en,2.0509374,12.533019778810287
C05774897_1,1,Clinton,en,4.585298,14.463182502962088
C05783112_2,3,Clinton,en,1.0000042,3.470372285917696
C05783747_0,1,Clinton,en,14.233544,6.205216309331336
C05782128_22,3,Clinton,en,10.794564,5.491056295145899
C05769583_1,3,Clinton,en,1.0001419,7.706454818137165
C05760166_1,3,Clinton,en,1.0000123,6.873811487489539
C05775884_1,2,Clinton,en,1.000017,6.963298318698154
C05779382_1,3,Clinton,en,1.0000031,6.607955922194969
C05760232_2,1,Clinton,en,1.0000144,6.94311816541501
C05774083_1,3,Clinton,en,1.0072657,7.268723189904096
C05768316_0,3,Clinton,en,1.0000437,5.00262062593855
C05793350_1,3,Clinton,en,1.0001869,7.669062343155548
C05766391_0,1,Clinton,en,3.458742,15.480106200031855
C05795811_2,2,Clinton,en,1.0000337,5.539002494716703
C05771649_1,3,Clinton,en,1.0000256,5.769614020574613
C05790190_2,2,Clinton,en,1.7255591,5.342706737302497
C05770392_1,2,Clinton,en,2.633443,12.785529464979085
C05785898_1,3,Clinton,en,1.9912874,6.886664384763522
C05771447_5,1,Clinton,en,1.0004195,5.113512283017692
C05796945_2,3,Clinton,en,1.0000442,5.015699182183252
C05781666_8,3,Clinton,en,1.0000044,5.505765720052827
C05782213_1,2,Clinton,en,1.0005661,8.215484022501744
C05790101_2,3,Clinton,en,1.0000024,4.530692592896053
C05770511_1,3,Clinton,en,1.0000206,6.311465174607683
C05760552_1,3,Clinton,en,1.0000024,3.9489021799657964
C05772358_3,1,Clinton,en,1.0034643,11.940293700043755
C05767719_2,3,Clinton,en,1.0000088,5.5530474152746745
C05780709_1,3,Clinton,en,2.7387743,5.55634015226693
C05762714_2,3,Clinton,en,1.0001149,6.796170792185303
C05770453_3,1,Clinton,en,6.552543,5.965683070742875
C05780014_1,1,Clinton,en,1.0000981,12.122614081173298
C05789052_1,1,Clinton,en,3.0940304,5.939247175946261
C05769840_1,2,Clinton,en,2.76288,13.268487963054229
C05762853_16,1,Clinton,en,1.0000118,9.49251523362076
C05769437_4,2,Clinton,en,1.0000268,6.5619048116954435
C05767724_1,1,Clinton,en,1.0000058,9.370754087073093
C05761154_3,3,Clinton,en,1.0002264,7.5868700623627054
C05758911_2,1,Clinton,en,1.000003,5.285612862892264
C05795082_1,3,Clinton,en,1.0000606,9.521919372291734
C05759525_2,3,Clinton,en,1.0000129,5.444541757377903
C05771846_3,3,Clinton,en,1.0000104,3.6841557827707296
C05789258_2,3,Clinton,en,1.0000312,5.12863827465635
C05790662_23,3,Clinton,en,2.4161847,3.7712960323026854
C05759138_5,2,Clinton,en,1.0022043,5.324455126235598
C05784458_0,3,Clinton,en,1.0000238,7.970323074449845
C05774496_2,1,Clinton,en,1.4341873,6.8778419200139815
C05739591_2,3,Clinton,en,1.2474452,4.3959120414771276
C05767591_0,3,Clinton,en,1.0000086,7.054190280183955
C05781651_1,3,Clinton,en,1.0003175,4.509126506259283
C05793151_1,3,Clinton,en,1.0000371,7.257099848401559
C05777311_8,3,Clinton,en,1.000002,6.951216742676852
C05774155_1,1,Clinton,en,1.0001307,9.554243610668811
C05796202_2,1,Clinton,en,2.3224723,4.6479043865483005
C05770294_0,1,Clinton,en,1.804043,6.568460118796116
C05780329_0,3,Clinton,en,1.000049,10.64156549618692
C05771216_1,2,Clinton,en,1.0005683,9.644581561107332
C05773734_3,2,Clinton,en,1.8708925,7.285916177398621
C05770612_0,2,Clinton,en,1.0001582,6.36383891521029
C05779003_0,1,Clinton,en,3.059114,10.999927512024929
C05772446_2,1,Clinton,en,4.917168,11.59242488644297
C05778486_4,2,Clinton,en,1.0000043,10.47643002623087
C05765915_0,3,Clinton,en,1.0000067,6.00341831151316
C05782457_0,3,Clinton,en,5.1178226,6.592643839438725
C05739879_1,3,Clinton,en,1.000003,5.383572427642583
C05765100_1,3,Clinton,en,14.435731,3.485654629272346
C05773055_1,3,Clinton,en,1.5301634,7.361046811194844
C05784364_6,3,Clinton,en,1.0001019,3.8005868561603826
C05796441_2,2,Clinton,en,1.0000162,6.519026776133167
C05786430_1,2,Clinton,en,1.6194038,8.361608788888322
C05780653_3,3,Clinton,en,1.0000285,5.788369865544597
C05782181_1,1,Clinton,en,2.8200238,7.633419174251795
C05785147_0,1,Clinton,en,1.0002252,11.918515170558543
C05759844_1,3,Clinton,en,7.184367,6.129048204844372
C05778292_0,1,Clinton,en,1.000206,7.874699258599909
C05772086_1,3,Clinton,en,1.0001312,5.603749626106186
C05780274_2,2,Clinton,en,2.5617316,7.206996457148849
C05767214_1,1,Clinton,en,4.070098,7.042880898504966
C05792587_2,3,Clinton,en,1.0000156,4.813916770635662
C05770509_1,3,Clinton,en,1.0000188,9.023782411289886
C05782720_1,1,Clinton,en,1.0013082,11.228782024312716
C05784562_2,1,Clinton,en,1.0000894,7.813228351369824
C05794274_1,3,Clinton,en,1.5119845,9.628434991222687
C05765915_4,1,Clinton,en,1.0001769,9.232932994534874
C05791312_1,1,Clinton,en,1.132997,7.221255169465429
C05774098_0,2,Clinton,en,1.0003353,8.119136521563485
C05758867_1,3,Clinton,en,1.0000682,5.188091226399585
C05771363_2,2,Clinton,en,1.7041101,7.802699198306205
C05789977_1,1,Clinton,en,1.0001206,6.826632989568549
C05771313_1,3,Clinton,en,1.0000134,5.30464909186327
C05783604_1,3,Clinton,en,14.734509,9.81196166513731
C05791747_2,1,Clinton,en,1.001304,8.143760227539053
C05778848_1,2,Clinton,en,7.042087,6.431751462055899
C05781420_2,3,Clinton,en,1.000006,5.639273781140021
C05784402_0,3,Clinton,en,2.5496764,6.865328830072697
C05772332_2,2,Clinton,en,3.4326022,6.759533458899317
C05788405_0,2,Clinton,en,1.0000827,7.433071927411578
C05793471_0,2,Clinton,en,1.0078521,5.880048661763371
C05767891_0,3,Clinton,en,1.0001582,4.021991445683286
C05767877_1,3,Clinton,en,1.0001454,6.0519945101391
C05764521_2,2,Clinton,en,1.0000024,5.859134431890213
C05769049_2,3,Clinton,en,1.0001127,6.800177052397872
C05767224_0,1,Clinton,en,9.143925,7.031223616808736
C05786605_1,2,Clinton,en,1.0000038,7.499338348769106
C05771747_0,3,Clinton,en,1.9387243,4.895783997080081
C05781516_2,1,Clinton,en,1.0000688,7.006855189060589
C05785131_1,3,Clinton,en,1.0000117,4.985928769733516
C05793223_0,2,Clinton,en,1.0001415,6.836638100633271
C05793188_1,1,Clinton,en,1.0000603,6.6677280020142815
C05771391_1,1,Clinton,en,1.0003564,10.516576563661607
C05793835_6,3,Clinton,en,1.000002,4.616474889322495
C05760594_1,3,Clinton,en,1.0002496,5.904110226564057
C05777917_0,2,Clinton,en,1.8975015,8.11371627247106
C05760249_1,1,Clinton,en,1.0000046,4.809916847673995
C05739576_1,3,Clinton,en,1.0000215,7.378676443545533
C05774150_1,3,Clinton,en,1.0000076,9.673033921589692
C05762765_1,3,Clinton,en,1.0000024,5.48716200510986
C05786716_0,3,Clinton,en,3.6635299,7.986714951557839
C05767426_3,3,Clinton,en,1.000077,6.21634029995891
C05768939_1,3,Clinton,en,1.0000021,4.410274414330126
C05778563_1,1,Clinton,en,1.0000021,7.263675001675521
C05772726_2,3,Clinton,en,1.0000149,6.003011556133322
C05771269_0,3,Clinton,en,1.0014286,4.1576965417027765
C05773297_0,3,Clinton,en,1.0000695,8.097316646248558
C05762562_2,3,Clinton,en,3.558616,7.307866761681796
C05784778_2,3,Clinton,en,1.0016849,9.343967543962641
C05787414_2,1,Clinton,en,10.027133,8.131871767287222
C05793893_3,3,Clinton,en,1.0000088,5.145042596893509
C05784400_0,1,Clinton,en,5.856263,6.255228928445207
C05779674_4,2,Clinton,en,7.361031,7.574669127018932
C05793786_0,3,Clinton,en,1.0000762,7.1708564783919755
C05792069_1,2,Clinton,en,1.0003483,7.179365439863049
C05793390_3,3,Clinton,en,1.0002401,6.806835403795405
C05769980_0,1,Clinton,en,1.0000042,4.86392245359395
C05778790_0,3,Clinton,en,1.0000322,5.300464778030081
C05760604_1,3,Clinton,en,2.956755,5.0010095907523535
C05797044_1,3,Clinton,en,1.0002452,4.924771186335815
C05760202_1,1,Clinton,en,1.499559,11.236428086408827
C05761319_2,3,Clinton,en,1.0003893,4.050450510283286
C05767796_2,3,Clinton,en,2.049959,3.8287489822928054
C05780387_1,3,Clinton,en,1.000002,4.267057209292771
C05789960_2,3,Clinton,en,9.858508,6.282260386885188
C05795886_0,1,Clinton,en,1.0001503,8.605172454893363
C05771705_1,3,Clinton,en,1.0000035,8.461727156114355
C05775990_1,3,Clinton,en,1.00048,10.023318282436533
C05795987_4,3,Clinton,en,1.000532,7.403360370953887
C05791723_0,3,Clinton,en,3.36833,7.716744423305558
C05766477_1,1,Clinton,en,1.8495758,7.03048231638126
C05790313_2,3,Clinton,en,1.003348,6.675536248609958
C05781090_1,1,Clinton,en,6.7079616,5.8588091002978375
C05758476_1,1,Clinton,en,1.0034246,16.595334049390583
C05768272_1,2,Clinton,en,1.0004174,5.134221610344443
C05785375_2,3,Clinton,en,1.0000027,7.572185995650785
C05762631_4,3,Clinton,en,1.0001571,5.48051644023845
C05767402_0,3,Clinton,en,1.0077221,6.1260366357031515
C05782189_0,2,Clinton,en,5.9853754,8.981304172288327
C05778549_0,3,Clinton,en,1.0001152,6.838013226334489
C05793512_0,3,Clinton,en,1.0001371,4.089712954549033
C05760542_1,3,Clinton,en,1.0000036,5.057830254200925
C05790929_2,3,Clinton,en,1.0050536,5.856877815979252
C05763029_1,1,Clinton,en,2.1279879,6.215625335257271
C05784927_0,3,Clinton,en,1.0000253,5.9630838615342165
C05784594_1,3,Clinton,en,1.000002,5.519322280760381
C05797235_0,3,Clinton,en,1.0000224,4.625644301472672
C05797215_1,3,Clinton,en,1.8113992,6.699794212427551
C05771564_5,1,Clinton,en,1.0000328,10.315306015440845
C05780172_0,3,Clinton,en,1.0000589,6.1018167901723945
C05760255_1,2,Clinton,en,1.5629034,6.038224166017057
C05775849_2,3,Clinton,en,1.0000104,6.509178817007405
C05790336_0,1,Clinton,en,3.240556,3.1720479327958975
C05767292_2,3,Clinton,en,1.0001434,5.662759018328606
C05776024_2,1,Clinton,en,1.0028186,7.130186390560929
C05779636_1,3,Clinton,en,1.0000104,5.6817608930279855
C05766975_0,1,Clinton,en,4.44727,11.816932838216344
C05790014_2,2,Clinton,en,5.368155,6.700845029906413
C05784912_2,3,Clinton,en,2.0278769,6.480579763305104
C05770504_0,3,Clinton,en,1.0000327,10.540937923727151
C05779762_0,3,Clinton,en,2.2143836,10.187966543202867
C05776647_1,2,Clinton,en,1.0001652,6.727482612713797
C05761440_4,3,Clinton,en,1.0001576,6.88057491277484
C05787161_7,2,Clinton,en,1.0001627,4.979435994079767
C05793664_3,3,Clinton,en,1.0005708,6.043134693477543
C05798034_0,3,Clinton,en,1.0013176,6.481483729419709
C05789580_8,1,Clinton,en,1.0000242,6.129823108092707
C05771351_1,2,Clinton,en,1.0001007,5.876985589060058
C05765230_0,3,Clinton,en,1.0070441,9.463738322660209
C05796631_2,2,Clinton,en,1.3047668,6.391595334953718
C05760216_2,1,Clinton,en,1.0000056,8.588984479562612
C05760112_1,1,Clinton,en,1.4880897,4.7713164656616875
C05768227_0,3,Clinton,en,1.0000213,3.2821641921378517
C05771419_5,1,Clinton,en,1.0004846,5.157760404867255
C05762628_1,2,Clinton,en,1.0001837,4.342250669389977
C05769981_0,3,Clinton,en,1.0000224,6.991636630765541
C05790317_4,3,Clinton,en,4.4206133,10.688756775276193
C05795567_0,3,Clinton,en,1.0000037,2.1959029011484223
C05778224_1,1,Clinton,en,1.0000136,10.01346231293481
C05760325_4,2,Clinton,en,1.6365992,5.649296390494951
C05760242_3,2,Clinton,en,1.6855438,8.021507261706894
C05773390_0,1,Clinton,en,1.0002867,5.4461318662117435
C05792303_0,3,Clinton,en,1.0000118,6.815744749068938
C05759602_2,1,Clinton,en,3.2900727,7.835457061829282
C05768951_1,3,Clinton,en,2.3974404,5.114320219202638
C05769252_0,1,Clinton,en,1.4206516,12.116345144875243
C05778276_1,3,Clinton,en,1.0002326,8.432859452291659
C05790243_1,3,Clinton,en,1.0019106,6.441744154454027
C05764282_1,3,Clinton,en,1.0000451,7.569101989055629
C05793691_1,3,Clinton,en,1.0001262,6.188046072257631
C05796862_1,3,Clinton,en,4.2162085,5.974448095160981
C05779128_0,3,Clinton,en,5.322959,6.516062641010102
C05768247_2,3,Clinton,en,1.0001119,6.206751626137423
C05790662_37,3,Clinton,en,5.0888844,3.780262339145898
C05766060_1,3,Clinton,en,1.000566,7.902148555885065
C05761124_2,2,Clinton,en,5.9441147,5.993934199733365
C05761815_3,3,Clinton,en,1.0000242,5.143340647026078
C05768591_0,1,Clinton,en,1.7100898,8.969371372816985
C05775546_1,2,Clinton,en,1.0005922,14.132315437813782
C05792886_1,2,Clinton,en,5.29889,6.883726477657465
C05760581_5,1,Clinton,en,1.0119678,15.405484010300725
C05788403_0,2,Clinton,en,1.0000145,7.990981936207181
C05780964_0,1,Clinton,en,12.277732,10.60845138146271
C05797945_2,1,Clinton,en,1.000167,5.185883943535229
C05792752_0,3,Clinton,en,1.0000916,4.7789537110321065
C05791117_1,3,Clinton,en,1.000364,9.704956923445444
C05798222_0,3,Clinton,en,1.0000058,4.891505870245693
C05771141_0,1,Clinton,en,1.0032676,10.75764365858254
C05783957_1,3,Clinton,en,2.0619855,5.164008628409024
C05771372_1,3,Clinton,en,1.0003037,5.455022343983732
C05771447_1,3,Clinton,en,3.7728302,7.519735738122797
C05770810_1,3,Clinton,en,1.0000443,3.646184301988321
C05782181_3,3,Clinton,en,1.0028068,8.504354647734653
C05793398_2,1,Clinton,en,2.1640508,8.26647875766179
C05764014_0,1,Clinton,en,1.0002049,9.401550545936885
C05795745_1,2,Clinton,en,2.2065547,6.440129423495167
C05770419_4,3,Clinton,en,1.0180074,4.824771457552928
C05779911_0,3,Clinton,en,1.000083,6.791317237219429
C05783899_2,3,Clinton,en,3.7536495,4.944202977250171
C05792187_2,3,Clinton,en,3.5733912,7.0076692731206816
C05776937_4,3,Clinton,en,1.0007764,8.544106886043224
C05766420_0,3,Clinton,en,1.0001951,6.669799901809943
C05791226_1,3,Clinton,en,5.770761,8.935953729507757
C05771729_0,1,Clinton,en,1.000067,12.180030065631273
C05789926_0,1,Clinton,en,5.077874,12.78496110053592
C05784520_0,3,Clinton,en,1.0570166,6.0608933581607385
C05762607_1,2,Clinton,en,1.0001113,7.827325546189439
C05762751_13,2,Clinton,en,1.0001258,7.359346367953378
C05766531_5,2,Clinton,en,1.0000203,8.197976360723079
C05789784_2,1,Clinton,en,4.130074,6.451838735687895
C05784648_1,1,Clinton,en,1.000012,8.770515131267684
C05793204_1,1,Clinton,en,1.0591592,11.004804036427878
C05794107_1,3,Clinton,en,1.0000037,4.526148533110534
C05780575_0,3,Clinton,en,1.5174532,7.36327087338942
C05768022_0,3,Clinton,en,80.95329,6.002357829013444
C05791939_1,1,Clinton,en,1.0011929,9.393082077560338
C05786565_0,2,Clinton,en,1.0000701,7.717454777348862
C05765027_2,2,Clinton,en,9.473028,13.079672413907128
C05789570_1,3,Clinton,en,1.0000474,8.480134420249342
C05785533_0,3,Clinton,en,1.0000695,6.542345150337892
C05785434_0,3,Clinton,en,1.0201577,7.877923402606257
C05772934_1,1,Clinton,en,1.0006218,10.635368179212188
C05776611_0,2,Clinton,en,2.0651572,7.731360005325619
C05771292_3,3,Clinton,en,1.178187,7.031274743857225
C05781285_1,1,Clinton,en,1.7268002,6.899043059996382
C05789548_2,3,Clinton,en,1.0011137,6.205827518878629
C05790514_0,2,Clinton,en,1.0004344,10.152285180447887
C05779727_2,3,Clinton,en,3.9839454,6.710035904292616
C05769467_2,3,Clinton,en,1.1766887,6.326204691611071
C05798138_1,1,Clinton,en,1.000214,7.824063924883987
C05769710_0,1,Clinton,en,2.143161,8.202649010322029
C05739809_1,1,Clinton,en,4.2847023,11.634205973876751
C05788078_0,3,Clinton,en,1.0001568,3.1011484868287584
C05758546_1,3,Clinton,en,11.477981,5.963365708114607
C05797414_1,3,Clinton,en,1.0000055,3.4165829624279396
C05773498_7,3,Clinton,en,2.9626853,3.919945994669075
C05770507_7,3,Clinton,en,1.0080285,4.282580083210351
C05786062_2,2,Clinton,en,1.0000514,10.75727743817735
C05784056_1,3,Clinton,en,7.9542856,9.076780332359549
C05792723_0,3,Clinton,en,1.0000074,3.7633139155993507
C05739546_2,1,Clinton,en,1.5160091,10.424041674064599
C05794565_0,1,Clinton,en,1.0005087,7.932873334873182
C05770485_0,2,Clinton,en,1.0005432,5.942837661277491
C05760580_1,1,Clinton,en,1.0000501,9.281319718670934
C05769976_1,2,Clinton,en,1.0002437,11.233477823567496
C05762899_1,2,Clinton,en,3.07026,5.29145978248577
C05794389_1,2,Clinton,en,1.0005462,7.74081676917443
C05772347_1,2,Clinton,en,1.0000439,7.482985835187973
C05789970_1,3,Clinton,en,1.0007138,7.635325527402236
C05780417_1,1,Clinton,en,1.0000076,6.1633254064017695
C05761103_5,2,Clinton,en,1.2654656,10.66364845947758
C05784043_4,3,Clinton,en,1.000002,4.358920063710338
C05768674_2,2,Clinton,en,346.16937,8.351248704927963
C05769207_1,2,Clinton,en,3.2441695,6.537656661417999
C05792188_0,3,Clinton,en,1.00006,5.267302981494407
C05772388_0,3,Clinton,en,1.0001482,5.691923918154183
C05766256_1,3,Clinton,en,1.0000054,4.455706460873791
C05779574_2,3,Clinton,en,2.1455882,5.344558565008202
C05778434_5,1,Clinton,en,4.317459,5.692330290262658
C05766169_2,3,Clinton,en,1.0007813,7.321543370461677
C05784302_9,3,Clinton,en,1.0000038,4.816547557266083
C05792097_0,1,Clinton,en,3.942321,7.222137130109588
C05781039_2,3,Clinton,en,3.5356965,7.387631004597856
C05788124_6,1,Clinton,en,1.5064213,9.228076039927121
C05792401_2,1,Clinton,en,1.0009987,8.148726511852557
C05782016_1,3,Clinton,en,1.0000591,5.026731393344266
C05791561_1,3,Clinton,en,1.0000075,4.761503390617777
C05771473_1,1,Clinton,en,1.0196283,7.122962184793817
C05778227_0,1,Clinton,en,1.0000509,11.89447040936867
C05784120_3,3,Clinton,en,1.0000381,5.264004932770764
C05775219_1,1,Clinton,en,1.02118,6.555228214766246
C05760429_2,3,Clinton,en,1.0052537,6.47043165931565
C05767655_3,3,Clinton,en,1.0000021,4.369250600766171
C05791473_2,1,Clinton,en,2.7749863,9.099827367015163
C05762853_3,1,Clinton,en,3.9627395,8.363141381560872
C05790662_26,3,Clinton,en,1.0000272,3.2385422538271924
C05761518_1,2,Clinton,en,1.0000228,5.504651232009604
C05739877_1,2,Clinton,en,8.158243,9.585310439124719
C05772083_1,3,Clinton,en,1.6446264,4.35828764098126
C05768349_2,2,Clinton,en,3.1290522,10.999963868861924
C05793946_4,3,Clinton,en,1.0000026,5.48238794742954
C05772566_2,1,Clinton,en,1.0019761,7.707653333444483
C05739784_2,3,Clinton,en,1.000003,5.997250496247183
C05758428_2,3,Clinton,en,1.0000418,7.634970967719418
C05787982_2,1,Clinton,en,1.0000149,5.168152692733015
C05770632_1,3,Clinton,en,2.4279482,5.055171269743462
C05791065_1,2,Clinton,en,2.8799036,7.7788586233974355
C05774255_2,2,Clinton,en,1.000035,8.458986779128415
C05793861_1,2,Clinton,en,1.0001496,6.63816356398292
C05791845_1,3,Clinton,en,1.0156558,6.4101015133212735
C05795382_2,3,Clinton,en,3.275905,9.655456187960523
C05762853_2,3,Clinton,en,2.9724696,6.558909257236588
C05776601_1,1,Clinton,en,1.4246637,7.444823322527023
C05795753_1,3,Clinton,en,1.0000024,6.029787071953662
C05792100_0,1,Clinton,en,1.4649627,9.241762596032494
C05778394_0,3,Clinton,en,1.0006348,7.81932522878728
C05782817_2,1,Clinton,en,7.237392,11.009475307249511
